,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
0,50.09457,20.098085,1,1,5,3
1,50.054997,20.037549,1,1,1,0
2,50.060136,20.059099,1,1,4,1
3,50.0603,20.0559,1,1,3,1
4,50.089173,20.01345,1,0,0,0
5,50.054508,20.112349,1,1,8,4
6,50.050893,19.949363,1,1,1,0
7,50.051185,19.939533,1,1,3,0
8,50.075688,19.979058,1,1,1,0
9,50.094648,19.979209,1,1,7,2
10,50.092813,19.898236,1,1,1,0
11,50.097116,19.958294,44,23,56,27
12,50.005895,19.919298,1,2,7,2
13,50.011829,19.946901,1,0,0,0
14,50.004273,19.906574,1,1,1,1
15,50.000946,19.909704,1,1,1,0
16,50.028353,19.853449,1,1,4,1
17,50.036951,19.919438,1,1,5,0
18,50.019669,19.941317,1,1,5,1
19,50.001083,19.895194,1,0,0,0
20,50.024478,19.969296,2,1,1,0
21,49.99427,19.988682,1,1,6,2
22,49.999791,19.923359,1,0,0,0
23,50.024231,19.989697,1,0,0,0
24,50.024581,19.980454,1,1,2,1
25,50.044197,19.973305,1,0,0,0
26,50.030925,19.864863,1,0,0,0
27,50.023744,19.919594,1,1,1,1
28,49.995665,19.90963,1,1,5,2
29,50.011164,19.907498,2,1,1,0
30,50.063786,20.004524,0,0,0,0
31,50.071417,20.104287,0,0,0,0
32,50.087073,20.146356,0,0,0,0
33,50.089058,20.037974,0,0,0,0
34,50.089899,20.040346,0,0,0,0
35,50.056118,20.002428,0,0,0,0
36,50.071238,20.050205,0,0,0,0
37,50.074434,20.013891,0,0,0,0
38,50.114623,20.110423,0,0,0,0
39,50.082157,19.952295,0,0,0,0
40,50.056256,19.927567,0,0,0,0
41,50.080531,19.956921,0,0,0,0
42,50.061569,19.927493,0,0,0,0
43,50.05626,19.937473,0,0,0,0
44,50.050158,19.942505,0,0,0,0
45,50.05218,19.945763,0,0,0,0
46,50.05695,19.933423,0,0,0,0
47,50.060028,19.939207,0,0,0,0
48,50.097477,19.973632,0,0,0,0
49,50.06255,19.935112,0,0,0,0
50,50.071238,19.935589,0,0,0,0
51,50.058791,19.92922,0,0,0,0
52,50.051947,19.946693,0,0,0,0
53,50.081576,19.882027,0,0,0,0
54,50.073069,19.927978,0,0,0,0
55,50.099284,19.890487,0,0,0,0
56,50.086319,19.936523,0,0,0,0
57,50.096353,19.914487,0,0,0,0
58,50.095633,19.873597,0,0,0,0
59,50.079185,19.944729,0,0,0,0
60,50.068827,19.910304,0,0,0,0
61,50.080645,19.918439,0,0,0,0
62,50.08392,19.880869,4,0,0,0
63,50.083851,19.944562,0,0,0,0
64,50.075141,19.850711,1,0,0,0
65,50.016527,19.97208,0,0,0,0
66,50.015561,19.968469,0,0,0,0
67,50.021244,19.989809,0,0,0,0
68,50.012345,19.953674,0,0,0,0
69,50.001748,19.91942,0,0,0,0
70,50.046525,19.970985,0,0,0,0
71,50.047271,19.951644,0,0,0,0
72,50.047648,19.952903,0,0,0,0
73,50.034151,20.044764,0,0,0,0
74,50.006474,20.009513,0,0,0,0
75,50.009299,19.953767,0,0,0,0
76,50.048955,19.924439,1,1,4,1
77,50.03325,20.003814,0,0,0,0
78,49.978492,19.870626,0,0,0,0
79,50.00276,19.942869,2,1,2,1
80,50.049617,19.926414,0,0,0,0
81,50.044231,19.930102,0,0,0,0
82,50.008374,19.909422,0,0,0,0
83,50.02031,19.972442,0,0,0,0
84,50.020791,19.982057,0,0,0,0
85,50.045213,19.979129,0,0,0,0
86,50.080145,20.01184,0,0,0,0
87,50.052287,20.102234,0,0,0,0
88,50.087013,20.01598,0,0,0,0
89,50.09427,20.074462,0,0,0,0
90,50.046492,20.161828,0,0,0,0
91,50.063007,19.947124,0,0,0,0
92,50.0741,19.9445,0,0,0,0
93,50.071355,19.860617,0,0,0,0
94,50.073131,19.857605,0,0,0,0
95,50.120753,19.889562,0,0,0,0
96,50.11076,19.884609,0,0,0,0
97,50.047059,19.873936,0,0,0,0
98,50.091705,19.87362,0,0,0,0
99,50.021458,19.910019,42,4,8,3
100,50.020509,19.960062,0,0,0,0
101,49.985994,19.942913,0,0,0,0
102,50.033161,19.899223,0,0,0,0
103,49.992962,19.984418,0,0,0,0
104,50.027473,19.852371,0,0,0,0
105,50.039027,19.936855,0,0,0,0
106,50.025898,19.935139,0,0,0,0
107,50.018715,19.968299,0,0,0,0
108,49.987103,19.920348,0,0,0,0
109,50.0198,19.9389,0,0,0,0
110,50.061856,19.990209,0,0,0,0
111,50.058791,19.92922,0,0,0,0
112,50.096278,19.900415,0,0,0,0
113,50.096421,19.906533,0,0,0,0
114,50.014956,20.056107,0,0,0,0
115,50.096008,20.021505,1,1,1,1
116,50.057581,20.01589,14,0,0,0
117,50.057191,20.0154,111,0,0,0
118,50.099324,20.117408,1,1,4,1
119,50.075068,20.018821,0,0,0,0
120,50.083421,20.034172,0,0,0,0
121,50.095125,20.052459,0,0,0,0
122,50.098515,20.014988,0,0,0,0
123,50.074703,20.052016,221,86,148,97
124,50.080807,20.18515,0,0,0,0
125,50.078939,20.046465,0,0,0,0
126,50.0879,20.0086,0,0,0,0
127,50.088615,20.023694,0,0,0,0
128,50.04997,20.132764,1,0,0,0
129,50.078713,20.026978,0,0,0,0
130,50.107939,20.072235,0,0,0,0
131,50.093685,20.003482,0,0,0,0
132,50.099391,19.997674,0,0,0,0
133,50.097984,19.997511,0,0,0,0
134,50.062004,20.0579,1,1,3,2
135,50.098503,20.187844,1,2,4,2
136,50.086137,20.014802,2,0,0,0
137,50.086987,20.017707,0,0,0,0
138,50.100575,20.076806,0,0,0,0
139,50.057508,20.002337,0,0,0,0
140,50.086297,20.047173,0,0,0,0
141,50.085497,19.99467,78,34,64,31
142,50.063223,19.940216,1,1,1,0
143,50.067752,19.968519,1,0,0,0
144,50.057691,19.926517,0,0,0,0
145,50.090576,19.959764,0,0,0,0
146,50.073192,19.985876,0,0,0,0
147,50.068919,19.965509,1,1,3,0
148,50.047534,19.943509,0,0,0,0
149,50.048124,19.943583,0,0,0,0
150,50.05302,19.94534,0,0,0,0
151,50.050409,19.951588,0,0,0,0
152,50.059224,19.943677,0,0,0,0
153,50.079323,19.969796,0,0,0,0
154,50.056792,19.960692,0,0,0,0
155,50.0762,19.9702,0,0,0,0
156,50.061472,19.942931,0,0,0,0
157,50.063436,19.937691,0,0,0,0
158,50.050747,19.945456,0,0,0,0
159,50.058622,19.93947,0,0,0,0
160,50.084253,19.957467,0,0,0,0
161,50.075793,19.941286,0,0,0,0
162,50.082435,19.846427,9,0,0,0
163,50.081851,19.84583,40,0,0,0
164,50.09894,19.950821,1,0,0,0
165,50.069259,19.881379,1,1,6,2
166,50.108814,19.900804,1,1,3,1
167,50.093153,19.907763,1,2,2,1
168,50.075175,19.931428,0,0,0,0
169,50.047098,19.903664,0,0,0,0
170,50.053849,19.913268,1,0,0,0
171,50.060455,19.892726,0,0,0,0
172,50.077922,19.920749,1,0,0,0
173,50.072887,19.886797,0,0,0,0
174,50.083864,19.906137,0,0,0,0
175,50.079,19.8943,1,0,0,0
176,50.0766,19.9123,0,0,0,0
177,50.0998,19.9613,0,0,0,0
178,50.081787,19.876386,0,0,0,0
179,50.10162,19.961016,0,0,0,0
180,50.054938,19.923355,0,0,0,0
181,50.100821,19.885642,0,0,0,0
182,50.084743,19.912826,0,0,0,0
183,50.068304,19.887073,0,0,0,0
184,50.084774,19.852274,0,0,0,0
185,50.109489,19.899306,0,0,0,0
186,50.07087,19.834545,1,1,2,0
187,50.095963,19.903022,0,0,0,0
188,50.073264,19.90489,2,0,0,0
189,50.041498,19.823716,1,1,1,0
190,50.080036,19.897416,0,0,0,0
191,50.098734,19.869046,0,0,0,0
192,50.092904,19.905818,0,0,0,0
193,50.098939,19.910118,1,1,4,2
194,50.094273,19.881138,0,0,0,0
195,50.114844,19.893295,1,1,3,1
196,50.048925,19.895483,0,0,0,0
197,50.079547,19.875037,0,0,0,0
198,50.092411,19.868204,0,0,0,0
199,50.097391,19.88731,2,1,3,3
200,50.041288,19.937079,1,1,1,0
201,50.027644,19.899366,1,0,0,0
202,49.990688,19.910786,1,1,5,3
203,49.985692,19.937719,1,2,3,1
204,50.015382,19.945309,1,1,1,0
205,50.008498,20.044478,1,2,5,0
206,50.005972,19.969903,1,0,0,0
207,50.019958,19.9921,1,0,0,0
208,49.977811,19.8826,1,1,6,3
209,50.024903,19.972815,1,0,0,0
210,50.0358,19.978591,0,0,0,0
211,50.042706,19.945197,0,0,0,0
212,50.00624,20.015735,0,0,0,0
213,50.041988,20.060996,0,0,0,0
214,50.050814,19.981667,0,0,0,0
215,50.0455,19.927907,1,1,3,1
216,49.998117,19.919467,0,0,0,0
217,50.020116,19.948833,0,0,0,0
218,50.053267,19.984106,47,24,41,29
219,50.020568,20.047381,0,0,0,0
220,50.040005,20.055641,0,0,0,0
221,50.035687,19.944711,0,0,0,0
222,50.047492,20.027442,1,0,0,0
223,50.009143,20.049014,0,0,0,0
224,50.009454,19.894254,0,0,0,0
225,50.006699,19.989485,0,0,0,0
226,50.038493,19.994378,0,0,0,0
227,49.996463,19.918607,0,0,0,0
228,50.042664,19.995697,0,0,0,0
229,50.048097,19.96418,0,0,0,0
230,50.007483,19.872573,0,0,0,0
231,50.020772,19.86774,1,0,0,0
232,49.994339,19.858505,0,0,0,0
233,49.996253,19.933253,2,0,0,0
234,50.002107,19.961097,1,0,0,0
235,50.002607,20.040217,1,1,2,0
236,50.001663,19.899698,1,0,0,0
237,50.018104,19.807987,0,0,0,0
238,50.042254,20.012046,1,1,2,1
239,50.03211,19.917972,0,0,0,0
240,50.028322,19.853849,0,0,0,0
241,49.992825,20.002846,1,0,0,0
242,49.982379,19.936536,0,0,0,0
243,50.019825,20.054526,75,53,132,77
244,49.993148,19.984651,0,0,0,0
245,50.008271,19.982242,8,0,0,0
246,50.003224,19.89097,1,1,2,0
247,50.045387,19.920611,0,0,0,0
