,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
0,52.366297,16.850801,1,0,0,0
1,52.345743,17.017728,2,1,6,2
2,52.408905,16.990421,1,1,1,0
3,52.372219,17.006474,1,1,4,1
4,52.375094,16.935038,0,0,0,0
5,52.392262,16.836516,0,0,0,0
6,52.392876,16.904109,0,0,0,0
7,52.37895,16.823684,0,0,0,0
8,52.413,16.9057,0,0,0,0
9,52.433941,16.882443,0,0,0,0
10,52.447732,16.862601,1,0,0,0
11,52.4539,16.8939,0,0,0,0
12,52.368708,16.887241,0,0,0,0
13,52.491361,16.935797,0,0,0,0
14,52.4674,16.9537,0,0,0,0
15,52.4268,16.9403,0,0,0,0
16,52.380199,16.943163,0,0,0,0
17,52.366242,16.942402,0,0,0,0
18,52.359162,16.976038,1,0,0,0
19,52.363731,17.017438,1,0,0,0
20,52.361542,16.982876,1,0,0,0
21,52.357802,17.016214,0,0,0,0
22,52.38161,16.941579,0,0,0,0
23,52.337573,17.012654,1,0,0,0
24,52.370842,16.875731,1,0,0,0
25,52.382152,16.813006,1,1,4,2
26,52.374028,16.870464,1,1,2,2
27,52.388804,16.814489,0,0,0,0
28,52.419812,16.864479,17,9,17,9
29,52.443045,16.868783,10,6,11,5
30,52.441837,16.86892,17,7,14,10
31,52.454265,16.90004,0,0,0,0
32,52.455147,16.86418,0,0,0,0
33,52.452676,16.950272,43,38,99,29
34,52.473769,16.923603,1,0,0,0
35,52.381127,16.915958,0,0,0,0
36,52.484653,16.919544,0,0,0,0
37,52.38584,16.910555,0,0,0,0
38,52.362136,16.903555,0,0,0,0
39,52.37562,16.970036,0,0,0,0
40,52.365573,17.042857,0,0,0,0
41,52.356926,16.932788,1,1,4,2
42,52.417796,17.042744,0,0,0,0
43,52.400044,16.95354,0,0,0,0
44,52.425411,17.065414,0,0,0,0
45,52.408035,17.01848,0,0,0,0
46,52.3713,16.9402,0,0,0,0
47,52.351402,16.961786,0,0,0,0
48,52.35424,16.95266,0,0,0,0
49,52.392262,16.836516,0,0,0,0
50,52.394495,16.896372,0,0,0,0
51,52.392212,16.832533,0,0,0,0
52,52.377636,16.885298,0,0,0,0
53,52.38176,16.820355,0,0,0,0
54,52.397993,16.896383,0,0,0,0
55,52.392476,16.836115,0,0,0,0
56,52.400486,16.883237,0,0,0,0
57,52.438826,16.808487,0,0,0,0
58,52.431034,16.823928,0,0,0,0
59,52.447862,16.894554,0,0,0,0
60,52.454265,16.90004,0,0,0,0
61,52.450453,16.87106,0,0,0,0
62,52.45906,16.864358,2,1,4,2
63,52.412844,16.913777,0,0,0,0
64,52.458069,16.847393,0,0,0,0
65,52.443607,16.887196,0,0,0,0
66,52.425514,16.908321,0,0,0,0
67,52.368221,16.887939,0,0,0,0
68,52.468991,16.936587,0,0,0,0
69,52.462256,16.902023,0,0,0,0
70,52.448438,16.933085,0,0,0,0
71,52.428941,16.933792,0,0,0,0
72,52.367285,16.882607,0,0,0,0
73,52.36648,16.888405,0,0,0,0
74,52.399757,16.922268,0,0,0,0
75,52.365699,16.882932,0,0,0,0
76,52.368738,16.885466,0,0,0,0
77,52.369517,16.879348,0,0,0,0
78,52.467543,16.921533,0,0,0,0
79,52.404774,16.950446,0,0,0,0
80,52.396881,16.953829,0,0,0,0
81,52.338399,17.014855,0,0,0,0
82,52.37227,17.0341,2,0,0,0
83,52.36574,16.932132,0,0,0,0
84,52.41214,16.839449,0,0,0,0
85,52.456941,16.871227,0,0,0,0
86,52.44516,16.87044,0,0,0,0
87,52.454265,16.90004,0,0,0,0
88,52.414491,16.883429,0,0,0,0
89,52.431667,16.914213,0,0,0,0
90,52.457482,16.861121,0,0,0,0
91,52.445047,16.909603,0,0,0,0
92,52.450811,16.933515,0,0,0,0
93,52.348237,17.017826,2,2,6,2
94,52.37355,16.968045,0,0,0,0
95,52.471058,16.907569,1,1,5,2
96,52.464467,16.939578,0,0,0,0
97,52.373334,16.889499,0,0,0,0
98,52.358827,16.982877,0,0,0,0
99,52.349114,17.038392,0,0,0,0
100,52.411176,16.952658,0,0,0,0
