,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
0,54.303819,18.612747,5,3,9,5
1,54.469231,18.521969,3,3,6,3
2,54.347416,18.552941,1,1,4,1
3,54.340774,18.518495,1,1,4,2
4,54.340813,18.891625,1,1,2,0
5,54.411432,18.453118,1,0,0,0
6,54.328675,18.578128,55,36,73,17
7,54.488356,18.423818,2,1,1,0
8,54.439371,18.576294,0,0,0,0
9,54.443681,18.568336,0,0,0,0
10,54.34146,18.584266,1,0,0,0
11,54.427627,18.472756,0,0,0,0
12,54.429594,18.473904,0,0,0,0
13,54.30191,18.610982,21,9,20,12
14,54.334703,18.512177,1,0,0,0
15,54.316291,18.584254,0,0,0,0
16,54.378336,18.496864,0,0,0,0
17,54.344894,18.634205,0,0,0,0
18,54.326255,18.590205,0,0,0,0
19,54.390848,18.653748,0,0,0,0
20,54.347028,18.657029,0,0,0,0
21,54.419789,18.601067,0,0,0,0
22,54.332634,18.558101,31,14,23,16
23,54.333933,18.667093,0,0,0,0
24,54.355795,18.513661,1,0,0,0
25,54.343945,18.624315,10,6,11,0
26,54.481313,18.55466,12,4,14,5
27,54.52636,18.522388,0,0,0,0
28,54.466841,18.452526,0,0,0,0
29,54.49572,18.43282,8,4,10,4
30,54.526768,18.482922,0,0,0,0
31,54.485659,18.402844,0,0,0,0
32,54.49991,18.42937,0,0,0,0
33,54.451248,18.443456,0,0,0,0
34,54.426153,18.561641,0,0,0,0
35,54.42633,18.565053,0,0,0,0
36,54.438084,18.565319,0,0,0,0
37,54.34682,18.622871,1,1,2,0
38,54.424599,18.590128,0,0,0,0
39,54.345571,18.676352,0,0,0,0
40,54.30318,18.61352,0,0,0,0
41,54.336861,18.577419,0,0,0,0
42,54.413008,18.447664,0,0,0,0
43,54.327354,18.551017,0,0,0,0
44,54.333508,18.562536,0,0,0,0
45,54.31395,18.594109,0,0,0,0
46,54.349554,18.658578,0,0,0,0
47,54.425321,18.47849,0,0,0,0
48,54.352736,18.649495,0,0,0,0
49,54.348379,18.651236,0,0,0,0
50,54.316187,18.576318,1,0,0,0
51,54.392373,18.471417,0,0,0,0
52,54.416701,18.556487,0,0,0,0
53,54.403133,18.624213,0,0,0,0
54,54.432553,18.472655,0,0,0,0
55,54.407904,18.619152,0,0,0,0
56,54.356655,18.593657,0,0,0,0
57,54.412562,18.57667,0,0,0,0
58,54.379005,18.506923,0,0,0,0
59,54.414988,18.483526,0,0,0,0
60,54.374683,18.615856,0,0,0,0
61,54.370469,18.572891,0,0,0,0
62,54.307944,18.594026,0,0,0,0
63,54.405307,18.566104,0,0,0,0
64,54.350244,18.568846,0,0,0,0
65,54.322926,18.552456,0,0,0,0
66,54.51342,18.531645,0,0,0,0
67,54.494767,18.425291,0,0,0,0
68,54.526813,18.48273,0,0,0,0
69,54.556195,18.49272,0,0,0,0
70,54.546985,18.508471,0,0,0,0
71,54.543312,18.463332,1,1,1,0
72,54.487159,18.420627,1,1,4,2
73,54.503159,18.45273,0,0,0,0
74,54.493614,18.549865,0,0,0,0
75,54.501014,18.466455,0,0,0,0
76,54.472302,18.518166,0,0,0,0
77,54.548394,18.465556,0,0,0,0
78,54.535869,18.459061,0,0,0,0
79,54.554161,18.435653,0,0,0,0
80,54.436729,18.567675,0,0,0,0
81,54.441528,18.569628,0,0,0,0
82,54.424199,18.597684,0,0,0,0
83,54.34458,18.611421,0,0,0,0
84,54.334831,18.610297,0,0,0,0
85,54.340162,18.546028,0,0,0,0
86,54.322395,18.58693,0,0,0,0
87,54.427079,18.466897,0,0,0,0
88,54.350204,18.564272,0,0,0,0
89,54.391187,18.648739,0,0,0,0
90,54.433751,18.462558,0,0,0,0
91,54.348221,18.552811,0,0,0,0
92,54.406471,18.631617,0,0,0,0
93,54.351856,18.471704,0,0,0,0
94,54.371836,18.599384,0,0,0,0
95,54.345329,18.619059,0,0,0,0
96,54.409796,18.597458,0,0,0,0
97,54.399343,18.563441,0,0,0,0
98,54.349211,18.555239,1,1,2,0
99,54.322395,18.58693,0,0,0,0
100,54.410521,18.568572,0,0,0,0
101,54.412076,18.563739,0,0,0,0
102,54.374683,18.615856,0,0,0,0
103,54.330881,18.598831,0,0,0,0
104,54.534,18.4482,0,0,0,0
105,54.538493,18.436958,0,0,0,0
106,54.482791,18.527461,0,0,0,0
107,54.538243,18.440157,0,0,0,0
108,54.485394,18.443217,0,0,0,0
109,54.538454,18.477034,0,0,0,0
110,54.357359,18.491114,0,0,0,0
111,54.327355,18.577027,0,0,0,0
112,54.347062,18.641015,0,0,0,0
113,54.390216,18.482202,1,0,0,0
114,54.327314,18.656494,0,0,0,0
115,54.503591,18.451041,0,0,0,0
116,54.444706,18.462933,0,0,0,0
