,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
0,51.138145,17.053368,1,1,1,0
1,51.145615,17.109304,3,0,0,0
2,51.145742,17.109817,15,14,40,16
3,51.136251,17.071291,10,10,31,13
4,51.134837,17.0574,1,1,4,1
5,51.140448,17.046463,1,1,3,1
6,51.140501,17.046451,1,1,3,1
7,51.130688,17.062497,10,10,20,8
8,51.136453,17.024252,12,9,22,7
9,51.134917,17.024538,1,0,0,0
10,51.136345,17.027017,1,1,1,0
11,51.107603,17.137673,1,1,5,2
12,51.137834,17.125008,1,2,15,6
13,51.143355,17.045098,1,1,5,2
14,51.154336,17.069758,1,1,3,1
15,51.145959,17.113447,1,1,2,1
16,51.143294,17.045787,1,0,0,0
17,51.10053,17.151088,1,1,2,2
18,51.13666,17.022255,1,1,6,2
19,51.146165,17.046069,10,9,25,11
20,51.139196,17.055667,1,1,6,1
21,51.145048,17.140304,10,11,30,10
22,51.137215,17.06178,1,1,4,0
23,51.157128,17.093136,1,1,5,2
24,51.142516,17.039605,1,1,4,1
25,51.172504,17.006484,1,1,1,0
26,51.140887,17.041964,1,1,4,2
27,51.15181,17.042184,2,2,5,2
28,51.130262,17.112818,1,1,4,2
29,51.142145,17.133829,27,5,14,6
30,51.139435,17.056987,1,1,1,0
31,51.128603,17.035012,15,12,32,14
32,51.163513,17.110967,1,1,3,1
33,51.156498,17.130782,10,10,25,7
34,51.097625,17.159918,1,1,2,0
35,51.154072,17.065406,1,0,0,0
36,51.1509,17.06702,1,1,4,1
37,51.151131,17.066509,1,1,9,3
38,51.137504,17.039651,2,2,8,4
39,51.14326,17.133214,22,20,59,15
40,51.135345,17.029849,32,32,72,18
41,51.163398,17.127273,8,9,28,13
42,51.139749,17.121869,1,1,8,2
43,51.133708,17.085904,1,0,0,0
44,51.111107,17.139276,1,1,4,2
45,51.110383,17.140821,1,1,2,0
46,51.110143,17.141177,1,1,3,1
47,51.11006,17.141402,1,1,6,2
48,51.116032,17.127715,1,1,1,0
49,51.115975,17.127392,2,1,1,0
50,51.110421,17.137899,1,1,3,1
51,51.11042,17.137719,1,1,4,1
52,51.106105,17.154915,1,1,2,0
53,51.135025,17.034408,22,19,39,8
54,51.140485,17.029519,12,9,20,9
55,51.099312,17.15631,1,1,2,0
56,51.164213,17.126911,1,1,1,1
57,51.162962,17.126239,93,84,156,76
58,51.136654,17.083012,1,1,4,2
59,51.151649,17.035663,1,1,6,0
60,51.139964,16.991097,6,6,16,4
61,51.140652,16.997582,3,3,10,4
62,51.170891,17.113156,5,1,7,1
63,51.177939,16.988806,1,1,2,0
64,51.196504,16.978213,3,3,6,1
65,51.172636,17.00937,2,1,5,1
66,51.14112,17.042823,2,2,7,2
67,51.152636,17.037199,1,1,4,2
68,51.14835,17.077516,15,15,38,11
69,51.141005,17.064502,24,9,18,11
70,51.108153,17.151107,1,1,2,0
71,51.137623,17.037389,24,21,45,12
72,51.135907,17.019919,2,2,7,1
73,51.1423,17.071,10,9,22,10
74,51.150183,17.076706,2,2,12,5
75,51.144641,17.063741,1,1,5,2
76,51.139525,17.058221,1,1,3,1
77,51.140816,17.058548,1,1,2,0
78,51.167765,17.106316,1,1,4,2
79,51.16527,17.105287,1,1,4,0
80,51.098794,17.160429,1,1,4,0
81,51.110657,17.136576,1,1,3,0
82,51.109861,17.137077,1,1,4,2
83,51.172869,17.01726,1,1,2,1
84,51.172677,17.015862,1,1,2,1
85,51.170739,17.023112,2,1,5,2
86,51.135155,17.088383,1,0,0,0
87,51.136316,17.087551,1,1,2,1
88,51.13726,17.132824,1,1,6,2
89,51.13136,17.106654,2,1,2,2
90,51.154977,17.0705,1,0,0,0
91,51.154821,17.070296,1,1,4,2
92,51.101044,17.160761,1,1,4,2
93,51.142624,17.044394,1,1,4,2
94,51.097677,17.162587,1,1,5,1
95,51.155184,17.130719,15,14,28,6
96,51.160176,17.124938,1,1,2,0
97,51.158846,17.122678,3,3,9,5
98,51.147258,16.985258,9,7,16,7
99,51.099657,17.15119,1,1,3,2
100,51.193551,16.978329,1,1,13,5
101,51.159324,17.138874,9,9,18,12
102,51.137564,17.034377,22,23,70,26
103,51.1445,17.119862,7,8,18,4
104,51.137553,17.045116,2,1,3,1
105,51.146142,17.042931,1,0,0,0
106,51.104489,17.162008,1,1,3,0
107,51.103252,17.106278,1,1,3,0
108,51.104547,17.114266,28,21,33,7
109,51.106021,17.111385,1,1,4,2
110,51.122147,17.049088,21,19,51,18
111,51.120667,17.046835,12,12,28,12
112,51.117511,17.042338,18,19,77,27
113,51.108417,17.102854,1,0,0,0
114,51.099578,17.114795,1,0,0,0
115,51.099876,17.1168,1,1,3,2
116,51.099184,17.097405,6,4,13,5
117,51.126442,17.053644,9,9,16,6
118,51.1251,17.0515,29,26,48,8
119,51.123364,17.055817,13,13,32,13
120,51.106667,17.104966,4,4,8,1
121,51.106655,17.104254,6,6,9,2
122,51.1168,17.034592,1,0,0,0
123,51.118297,17.029325,13,12,30,10
124,51.112734,17.095414,2,1,3,2
125,51.1021,17.092089,1,1,5,1
126,51.107902,17.057328,1,1,2,2
127,51.104252,17.100957,1,1,1,0
128,51.125857,17.047581,16,18,43,15
129,51.11912,17.07569,1,0,0,0
130,51.119593,17.076707,2,1,6,2
131,51.111916,17.105646,5,5,8,1
132,51.123143,17.040462,1,0,0,0
133,51.110255,17.107438,1,1,1,0
134,51.123574,17.054813,17,15,26,13
135,51.118063,17.035263,14,14,40,13
136,51.124372,17.073992,1,1,2,0
137,51.126236,17.051663,5,1,1,0
138,51.102616,17.107511,1,1,1,0
139,51.101762,17.107091,9,9,17,7
140,51.111581,17.109708,1,1,4,2
141,51.107309,17.106205,7,7,16,10
142,51.118851,17.044753,13,13,38,20
143,51.109941,17.062694,8,9,24,7
144,51.121768,17.089042,2,2,3,0
145,51.108394,17.098521,5,6,13,9
146,51.10714,17.098924,5,5,12,5
147,51.102163,17.100897,9,9,21,7
148,51.1219,17.040302,1,0,0,0
149,51.121189,17.057753,7,5,12,2
150,51.10874,17.106692,7,8,17,5
151,51.1181,17.062238,14,13,34,15
152,51.118142,17.06289,12,10,24,8
153,51.126442,17.076344,1,0,0,0
154,51.107784,17.10217,4,3,6,0
155,51.118128,17.05865,13,11,37,12
156,51.118168,17.058269,16,16,32,6
157,51.121791,17.032264,21,19,34,17
158,51.115883,17.061324,11,11,26,11
159,51.108005,17.105681,1,1,4,2
160,51.099015,17.106455,5,4,9,2
161,51.098747,17.106014,6,6,14,4
162,51.123623,17.029246,17,14,31,10
163,51.123364,17.032642,24,23,59,26
164,51.104373,17.105812,1,1,1,0
165,51.104378,17.105506,1,1,2,0
166,51.113036,17.055363,19,19,40,20
167,51.12173,17.07435,2,2,5,1
168,51.120569,17.076773,1,1,3,1
169,51.112143,17.099122,4,4,11,2
170,51.104805,17.082431,1,0,0,0
171,51.121826,17.047275,17,15,30,8
172,51.122061,17.047535,13,11,28,7
173,51.106902,17.11018,5,6,9,3
174,51.107629,17.09441,5,4,9,7
175,51.10001,17.114602,1,1,1,1
176,51.125856,17.062152,8,7,16,5
177,51.150553,16.936961,1,1,1,0
178,51.151657,16.935264,1,1,3,1
179,51.127945,16.961295,15,14,24,10
180,51.130284,16.848934,1,0,0,0
181,51.086465,16.99152,1,1,2,0
182,51.097207,16.95944,1,1,4,2
183,51.097223,16.956635,1,1,4,2
184,51.132889,16.88611,1,1,2,0
185,51.148839,16.891856,1,1,6,2
186,51.14751,16.938505,1,1,3,1
187,51.149118,16.864028,1,1,10,5
188,51.113171,16.962469,4,5,14,6
189,51.111934,16.95806,30,28,70,18
190,51.112386,16.957418,32,31,71,16
191,51.093597,16.991209,1,1,1,0
192,51.093679,16.992409,2,2,6,3
193,51.075447,16.957615,1,0,0,0
194,51.162199,16.925206,1,1,2,0
195,51.153526,16.880356,1,1,8,1
196,51.13436,16.893297,1,2,4,2
197,51.133942,16.893745,1,1,3,1
198,51.145754,16.898841,1,1,6,2
199,51.137033,16.980399,9,9,25,10
200,51.1579,16.901,1,0,0,0
201,51.120611,16.957531,1,1,5,0
202,51.104054,16.96459,1,1,2,0
203,51.103795,16.963371,1,0,0,0
204,51.092598,17.008044,12,12,28,7
205,51.119415,16.870091,1,1,7,0
206,51.16072,16.906831,1,1,3,0
207,51.13714,16.971137,10,11,27,10
208,51.136164,16.957264,8,8,21,8
209,51.138711,16.958164,6,6,11,7
210,51.100703,17.004438,15,14,35,17
211,51.134324,16.918966,1,1,4,2
212,51.105628,16.962915,1,1,2,1
213,51.142148,16.961786,33,28,61,19
214,51.12466,16.948909,15,14,26,11
215,51.10852,16.967248,1,1,4,1
216,51.108278,16.967043,1,1,4,2
217,51.1232,16.9624,32,30,65,32
218,51.143465,16.963736,8,9,20,4
219,51.125354,16.972337,21,19,42,22
220,51.150001,16.933195,1,1,2,1
221,51.153194,16.882348,1,1,1,0
222,51.120032,16.849661,3,0,0,0
223,51.151561,16.882288,1,1,1,0
224,51.153827,16.885643,1,2,5,2
225,51.154127,16.886058,1,1,4,2
226,51.153911,16.88596,1,0,0,0
227,51.145119,16.905067,1,1,3,1
228,51.153329,16.860018,1,1,3,0
229,51.073822,16.968124,1,1,3,1
230,51.14234,16.88451,1,2,7,2
231,51.142474,16.884673,1,1,4,1
232,51.174452,16.913981,7,6,17,6
233,51.113207,16.967582,1,1,8,2
234,51.111169,16.956312,9,10,30,11
235,51.124737,16.863754,1,1,4,1
